x  y  z   error
0.235619  0.706858  0.0785398  -0.000284422
0.235619  0.706858  0.235619  -0.00156894
0.235619  0.706858  0.392699  -0.00156894
0.235619  0.706858  0.549779  -0.000284422
0.235619  0.706858  0.706858  0.000357839
0.235619  0.706858  0.863938  -0.000284422
0.235619  0.706858  1.02102  -0.0022112
0.235619  0.706858  1.1781  0.000357839
0.235619  0.706858  1.33518  0.000357839
0.235619  0.706858  1.49226  0.0010001
0.235619  0.863938  0.0785398  -0.000926682
0.235619  0.863938  0.235619  -0.000926682
0.235619  0.863938  0.392699  -0.000284422
0.235619  0.863938  0.549779  -0.00285346
0.235619  0.863938  0.706858  -0.000926682
0.235619  0.863938  0.863938  0.000357839
0.235619  0.863938  1.02102  0.0010001
0.235619  0.863938  1.1781  0.000357839
0.235619  0.863938  1.33518  0.0010001
0.235619  0.863938  1.49226  0.0010001
0.235619  1.02102  0.0785398  -0.00156894
0.235619  1.02102  0.235619  -0.0022112
0.235619  1.02102  0.392699  -0.000926682
0.235619  1.02102  0.549779  -0.000926682
0.235619  1.02102  0.706858  -0.000926682
0.235619  1.02102  0.863938  -0.00156894
0.235619  1.02102  1.02102  -0.000926682
0.235619  1.02102  1.1781  0.0010001
0.235619  1.02102  1.33518  0.000357839
0.235619  1.02102  1.49226  -0.000926682
0.235619  1.1781  0.0785398  0.000357839
0.235619  1.1781  0.235619  -0.000284422
0.235619  1.1781  0.392699  -0.000926682
0.235619  1.1781  0.549779  0.0010001
0.235619  1.1781  0.706858  -0.000926682
0.235619  1.1781  0.863938  -0.000284422
0.235619  1.1781  1.02102  0.0010001
0.235619  1.1781  1.1781  -0.000284422
0.235619  1.1781  1.33518  -0.000284422
0.235619  1.1781  1.49226  0.0010001
0.235619  1.33518  0.0785398  -0.000926682
0.235619  1.33518  0.235619  -0.000284422
0.235619  1.33518  0.392699  -0.000284422
0.235619  1.33518  0.549779  -0.000284422
0.235619  1.33518  0.706858  -0.000284422
0.235619  1.33518  0.863938  0.000357839
0.235619  1.33518  1.02102  -0.000284422
0.235619  1.33518  1.1781  0.0010001
0.235619  1.33518  1.33518  0.000357839
0.235619  1.33518  1.49226  0.0010001
0.235619  1.49226  0.0785398  0.0010001
0.235619  1.49226  0.235619  0.0010001
0.235619  1.49226  0.392699  0.000357839
0.235619  1.49226  0.549779  0.0010001
0.235619  1.49226  0.706858  0.0010001
0.235619  1.49226  0.863938  0.0010001
0.235619  1.49226  1.02102  0.0010001
0.235619  1.49226  1.1781  0.0010001
0.235619  1.49226  1.33518  0.000357839
0.235619  1.49226  1.49226  0.0010001
0.392699  0.0785398  0.0785398  -0.00285346
0.392699  0.0785398  0.235619  -0.000926682
0.392699  0.0785398  0.392699  -0.0022112
0.392699  0.0785398  0.549779  -0.00285346
0.392699  0.0785398  0.706858  -0.000926682
0.392699  0.0785398  0.863938  -0.0022112
0.392699  0.0785398  1.02102  -0.000284422
0.392699  0.0785398  1.1781  -0.00156894
0.392699  0.0785398  1.33518  -0.000284422
0.392699  0.0785398  1.49226  0.000357839
0.392699  0.235619  0.0785398  -0.00285346
0.392699  0.235619  0.235619  -0.000926682
0.392699  0.235619  0.392699  -0.000926682
0.392699  0.235619  0.549779  -0.00156894
0.392699  0.235619  0.706858  -0.00156894
0.392699  0.235619  0.863938  0.000357839
0.392699  0.235619  1.02102  -0.00413799
0.392699  0.235619  1.1781  -0.000284422
0.392699  0.235619  1.33518  0.0010001
0.392699  0.235619  1.49226  -0.000926682
0.392699  0.392699  0.0785398  -0.000926682
0.392699  0.392699  0.235619  -0.00156894
0.392699  0.392699  0.392699  -0.00285346
0.392699  0.392699  0.549779  -0.0022112
0.392699  0.392699  0.706858  -0.000926682
0.392699  0.392699  0.863938  -0.000926682
0.392699  0.392699  1.02102  0.0010001
0.392699  0.392699  1.1781  -0.000926682
0.392699  0.392699  1.33518  0.000357839
0.392699  0.392699  1.49226  0.000357839
0.392699  0.549779  0.0785398  -0.00156894
0.392699  0.549779  0.235619  -0.00285346
0.392699  0.549779  0.392699  -0.00156894
0.392699  0.549779  0.549779  -0.00156894
0.392699  0.549779  0.706858  -0.00156894
0.392699  0.549779  0.863938  -0.000284422
0.392699  0.549779  1.02102  -0.00156894
0.392699  0.549779  1.1781  -0.000284422
0.392699  0.549779  1.33518  0.000357839
0.392699  0.549779  1.49226  0.0010001
0.392699  0.706858  0.0785398  -0.000926682
0.392699  0.706858  0.235619  -0.0022112
0.392699  0.706858  0.392699  -0.000284422
0.392699  0.706858  0.549779  0.000357839
0.392699  0.706858  0.706858  -0.000284422
0.392699  0.706858  0.863938  -0.000926682
0.392699  0.706858  1.02102  -0.000284422
0.392699  0.706858  1.1781  0.0010001
0.392699  0.706858  1.33518  0.000357839
0.392699  0.706858  1.49226  0.000357839
0.392699  0.863938  0.0785398  -0.00156894
0.392699  0.863938  0.235619  -0.00156894
0.392699  0.863938  0.392699  -0.000926682
0.392699  0.863938  0.549779  -0.000284422
0.392699  0.863938  0.706858  0.0010001
0.392699  0.863938  0.863938  0.0010001
0.392699  0.863938  1.02102  0.000357839
0.392699  0.863938  1.1781  0.000357839
0.392699  0.863938  1.33518  -0.000284422
0.392699  0.863938  1.49226  0.000357839
0.392699  1.02102  0.0785398  -0.00349573
0.392699  1.02102  0.235619  -0.000284422
0.392699  1.02102  0.392699  -0.000284422
0.392699  1.02102  0.549779  0.000357839
0.392699  1.02102  0.706858  0.000357839
0.392699  1.02102  0.863938  -0.000284422
0.392699  1.02102  1.02102  0.000357839
0.392699  1.02102  1.1781  0.0010001
0.392699  1.02102  1.33518  -0.00156894
0.392699  1.02102  1.49226  0.000357839
0.392699  1.1781  0.0785398  -0.00156894
0.392699  1.1781  0.235619  -0.000926682
0.392699  1.1781  0.392699  0.0010001
0.392699  1.1781  0.549779  -0.000284422
0.392699  1.1781  0.706858  0.0010001
0.392699  1.1781  0.863938  0.0010001
0.392699  1.1781  1.02102  -0.000284422
0.392699  1.1781  1.1781  0.0010001
0.392699  1.1781  1.33518  0.0010001
0.392699  1.1781  1.49226  0.0010001
0.392699  1.33518  0.0785398  0.000357839
0.392699  1.33518  0.235619  0.0010001
0.392699  1.33518  0.392699  0.000357839
0.392699  1.33518  0.549779  0.0010001
0.392699  1.33518  0.706858  0.0010001
0.392699  1.33518  0.863938  0.0010001
0.392699  1.33518  1.02102  0.0010001
0.392699  1.33518  1.1781  0.000357839
0.392699  1.33518  1.33518  -0.000284422
0.392699  1.33518  1.49226  0.000357839
0.392699  1.49226  0.0785398  0.0010001
0.392699  1.49226  0.235619  0.000357839
0.392699  1.49226  0.392699  -0.000284422
0.392699  1.49226  0.549779  0.0010001
0.392699  1.49226  0.706858  0.0010001
0.392699  1.49226  0.863938  0.000357839
0.392699  1.49226  1.02102  0.0010001
0.392699  1.49226  1.1781  0.0010001
0.392699  1.49226  1.33518  0.0010001
0.392699  1.49226  1.49226  0.0010001
0.549779  0.0785398  0.0785398  -0.0022112
0.549779  0.0785398  0.235619  -0.0022112
0.549779  0.0785398  0.392699  -0.000926682
0.549779  0.0785398  0.549779  -0.000284422
0.549779  0.0785398  0.706858  -0.00156894
0.549779  0.0785398  0.863938  -0.000284422
0.549779  0.0785398  1.02102  -0.000284422
0.549779  0.0785398  1.1781  -0.00156894
0.549779  0.0785398  1.33518  0.000357839
0.549779  0.0785398  1.49226  0.000357839
0.549779  0.235619  0.0785398  -0.00285346
0.549779  0.235619  0.235619  -0.000284422
0.549779  0.235619  0.392699  -0.000926682
0.549779  0.235619  0.549779  0.0010001
0.549779  0.235619  0.706858  -0.00156894
0.549779  0.235619  0.863938  0.000357839
0.549779  0.235619  1.02102  -0.000926682
0.549779  0.235619  1.1781  -0.000284422
0.549779  0.235619  1.33518  -0.000926682
0.549779  0.235619  1.49226  0.0010001
0.549779  0.392699  0.0785398  -0.0022112
0.549779  0.392699  0.235619  -0.000926682
0.549779  0.392699  0.392699  0.000357839
0.549779  0.392699  0.549779  -0.000926682
0.549779  0.392699  0.706858  -0.000284422
0.549779  0.392699  0.863938  -0.000284422
0.549779  0.392699  1.02102  -0.000926682
0.549779  0.392699  1.1781  0.000357839
0.549779  0.392699  1.33518  -0.000284422
0.549779  0.392699  1.49226  0.000357839
0.549779  0.549779  0.0785398  -0.0022112
0.549779  0.549779  0.235619  -0.000284422
0.549779  0.549779  0.392699  -0.000284422
0.549779  0.549779  0.549779  -0.000926682
0.549779  0.549779  0.706858  -0.000284422
0.549779  0.549779  0.863938  0.000357839
0.549779  0.549779  1.02102  0.0010001
0.549779  0.549779  1.1781  0.000357839
0.549779  0.549779  1.33518  0.0010001
0.549779  0.549779  1.49226  -0.000284422
0.549779  0.706858  0.0785398  -0.000926682
0.549779  0.706858  0.235619  -0.0022112
0.549779  0.706858  0.392699  -0.000284422
0.549779  0.706858  0.549779  0.0010001
0.549779  0.706858  0.706858  -0.000926682
0.549779  0.706858  0.863938  0.000357839
0.549779  0.706858  1.02102  -0.000284422
0.549779  0.706858  1.1781  -0.000284422
0.549779  0.706858  1.33518  0.0010001
0.549779  0.706858  1.49226  0.0010001
0.549779  0.863938  0.0785398  -0.000284422
0.549779  0.863938  0.235619  -0.00156894
0.549779  0.863938  0.392699  0.0010001
0.549779  0.863938  0.549779  0.000357839
0.549779  0.863938  0.706858  -0.000284422
0.549779  0.863938  0.863938  0.000357839
0.549779  0.863938  1.02102  0.000357839
0.549779  0.863938  1.1781  0.0010001
0.549779  0.863938  1.33518  0.0010001
0.549779  0.863938  1.49226  0.0010001
0.549779  1.02102  0.0785398  0.000357839
0.549779  1.02102  0.235619  -0.000926682
0.549779  1.02102  0.392699  0.000357839
0.549779  1.02102  0.549779  0.000357839
0.549779  1.02102  0.706858  -0.000284422
0.549779  1.02102  0.863938  -0.000284422
0.549779  1.02102  1.02102  -0.000284422
0.549779  1.02102  1.1781  -0.000284422
0.549779  1.02102  1.33518  0.0010001
0.549779  1.02102  1.49226  0.0010001
0.549779  1.1781  0.0785398  -0.000926682
0.549779  1.1781  0.235619  -0.000284422
0.549779  1.1781  0.392699  -0.00156894
0.549779  1.1781  0.549779  0.0010001
0.549779  1.1781  0.706858  0.0010001
0.549779  1.1781  0.863938  0.000357839
0.549779  1.1781  1.02102  0.000357839
0.549779  1.1781  1.1781  0.000357839
0.549779  1.1781  1.33518  0.0010001
0.549779  1.1781  1.49226  0.0010001
0.549779  1.33518  0.0785398  -0.000926682
0.549779  1.33518  0.235619  0.0010001
0.549779  1.33518  0.392699  0.000357839
0.549779  1.33518  0.549779  0.000357839
0.549779  1.33518  0.706858  -0.000926682
0.549779  1.33518  0.863938  0.0010001
0.549779  1.33518  1.02102  -0.000926682
0.549779  1.33518  1.1781  -0.000926682
0.549779  1.33518  1.33518  0.000357839
0.549779  1.33518  1.49226  0.0010001
0.549779  1.49226  0.0785398  0.0010001
0.549779  1.49226  0.235619  0.000357839
0.549779  1.49226  0.392699  0.000357839
0.549779  1.49226  0.549779  0.0010001
0.549779  1.49226  0.706858  0.0010001
0.549779  1.49226  0.863938  0.0010001
0.549779  1.49226  1.02102  0.0010001
0.549779  1.49226  1.1781  0.0010001
0.549779  1.49226  1.33518  0.0010001
0.549779  1.49226  1.49226  0.0010001
0.706858  0.0785398  0.0785398  -0.0022112
0.706858  0.0785398  0.235619  -0.00285346
0.706858  0.0785398  0.392699  -0.00156894
0.706858  0.0785398  0.549779  -0.000284422
0.706858  0.0785398  0.706858  -0.00156894
0.706858  0.0785398  0.863938  -0.000926682
0.706858  0.0785398  1.02102  -0.000284422
0.706858  0.0785398  1.1781  -0.000926682
0.706858  0.0785398  1.33518  0.000357839
0.706858  0.0785398  1.49226  0.000357839
0.706858  0.235619  0.0785398  -0.0022112
0.706858  0.235619  0.235619  0.000357839
0.706858  0.235619  0.392699  -0.000284422
0.706858  0.235619  0.549779  -0.000284422
0.706858  0.235619  0.706858  -0.0022112
0.706858  0.235619  0.863938  -0.00156894
0.706858  0.235619  1.02102  -0.00156894
0.706858  0.235619  1.1781  -0.000926682
0.706858  0.235619  1.33518  0.000357839
0.706858  0.235619  1.49226  0.000357839
0.706858  0.392699  0.0785398  -0.0022112
0.706858  0.392699  0.235619  -0.00349573
0.706858  0.392699  0.392699  0.000357839
0.706858  0.392699  0.549779  0.000357839
0.706858  0.392699  0.706858  -0.000284422
0.706858  0.392699  0.863938  -0.00156894
0.706858  0.392699  1.02102  -0.00156894
0.706858  0.392699  1.1781  0.0010001
0.706858  0.392699  1.33518  0.0010001
0.706858  0.392699  1.49226  -0.000284422
0.706858  0.549779  0.0785398  -0.00156894
0.706858  0.549779  0.235619  -0.00285346
0.706858  0.549779  0.392699  -0.000284422
0.706858  0.549779  0.549779  -0.000926682
0.706858  0.549779  0.706858  -0.000926682
0.706858  0.549779  0.863938  -0.000926682
0.706858  0.549779  1.02102  0.0010001
0.706858  0.549779  1.1781  0.0010001
0.706858  0.549779  1.33518  0.0010001
0.706858  0.549779  1.49226  0.0010001
0.706858  0.706858  0.0785398  -0.000284422
0.706858  0.706858  0.235619  -0.000926682
0.706858  0.706858  0.392699  0.0010001
0.706858  0.706858  0.549779  0.0010001
0.706858  0.706858  0.706858  0.0010001
0.706858  0.706858  0.863938  0.0010001
0.706858  0.706858  1.02102  0.0010001
0.706858  0.706858  1.1781  0.000357839
0.706858  0.706858  1.33518  0.000357839
0.706858  0.706858  1.49226  -0.000284422
0.706858  0.863938  0.0785398  -0.000284422
0.706858  0.863938  0.235619  0.000357839
0.706858  0.863938  0.392699  0.000357839
0.706858  0.863938  0.549779  -0.000284422
0.706858  0.863938  0.706858  0.000357839
0.706858  0.863938  0.863938  0.000357839
0.706858  0.863938  1.02102  0.000357839
0.706858  0.863938  1.1781  0.0010001
0.706858  0.863938  1.33518  0.000357839
0.706858  0.863938  1.49226  0.0010001
0.706858  1.02102  0.0785398  -0.000284422
0.706858  1.02102  0.235619  -0.000284422
0.706858  1.02102  0.392699  -0.000284422
0.706858  1.02102  0.549779  -0.000926682
0.706858  1.02102  0.706858  -0.000926682
0.706858  1.02102  0.863938  0.000357839
0.706858  1.02102  1.02102  0.000357839
0.706858  1.02102  1.1781  0.0010001
0.706858  1.02102  1.33518  -0.000284422
0.706858  1.02102  1.49226  0.000357839
0.706858  1.1781  0.0785398  0.0010001
0.706858  1.1781  0.235619  -0.000284422
0.706858  1.1781  0.392699  -0.000284422
0.706858  1.1781  0.549779  0.0010001
0.706858  1.1781  0.706858  0.0010001
0.706858  1.1781  0.863938  -0.000284422
0.706858  1.1781  1.02102  -0.000926682
0.706858  1.1781  1.1781  0.0010001
0.706858  1.1781  1.33518  0.000357839
0.706858  1.1781  1.49226  0.0010001
0.706858  1.33518  0.0785398  0.0010001
0.706858  1.33518  0.235619  -0.000284422
0.706858  1.33518  0.392699  0.000357839
0.706858  1.33518  0.549779  0.0010001
0.706858  1.33518  0.706858  0.0010001
0.706858  1.33518  0.863938  -0.000284422
0.706858  1.33518  1.02102  0.000357839
0.706858  1.33518  1.1781  0.000357839
0.706858  1.33518  1.33518  0.0010001
0.706858  1.33518  1.49226  0.0010001
0.706858  1.49226  0.0785398  0.0010001
0.706858  1.49226  0.235619  0.0010001
0.706858  1.49226  0.392699  0.0010001
0.706858  1.49226  0.549779  0.000357839
0.706858  1.49226  0.706858  0.0010001
0.706858  1.49226  0.863938  0.0010001
0.706858  1.49226  1.02102  0.0010001
0.706858  1.49226  1.1781  0.0010001
0.706858  1.49226  1.33518  0.0010001
0.706858  1.49226  1.49226  0.0010001
0.863938  0.0785398  0.0785398  -0.00349573
0.863938  0.0785398  0.235619  -0.00156894
0.863938  0.0785398  0.392699  -0.000926682
0.863938  0.0785398  0.549779  -0.00156894
0.863938  0.0785398  0.706858  -0.000284422
0.863938  0.0785398  0.863938  0.000357839
0.863938  0.0785398  1.02102  -0.00156894
0.863938  0.0785398  1.1781  0.000357839
0.863938  0.0785398  1.33518  -0.000284422
0.863938  0.0785398  1.49226  0.000357839
0.863938  0.235619  0.0785398  -0.000926682
0.863938  0.235619  0.235619  0.0010001
0.863938  0.235619  0.392699  -0.000284422
0.863938  0.235619  0.549779  -0.000926682
0.863938  0.235619  0.706858  -0.00156894
0.863938  0.235619  0.863938  0.000357839
0.863938  0.235619  1.02102  0.0010001
0.863938  0.235619  1.1781  -0.000284422
0.863938  0.235619  1.33518  0.0010001
0.863938  0.235619  1.49226  0.0010001
0.863938  0.392699  0.0785398  -0.000284422
0.863938  0.392699  0.235619  0.000357839
0.863938  0.392699  0.392699  -0.000926682
0.863938  0.392699  0.549779  -0.0022112
0.863938  0.392699  0.706858  -0.00156894
0.863938  0.392699  0.863938  -0.000284422
0.863938  0.392699  1.02102  0.000357839
0.863938  0.392699  1.1781  0.0010001
0.863938  0.392699  1.33518  0.000357839
0.863938  0.392699  1.49226  0.0010001
0.863938  0.549779  0.0785398  -0.00413799
0.863938  0.549779  0.235619  -0.000284422
0.863938  0.549779  0.392699  -0.000284422
0.863938  0.549779  0.549779  -0.000284422
0.863938  0.549779  0.706858  0.0010001
0.863938  0.549779  0.863938  0.000357839
0.863938  0.549779  1.02102  0.0010001
0.863938  0.549779  1.1781  0.0010001
0.863938  0.549779  1.33518  0.0010001
0.863938  0.549779  1.49226  0.0010001
0.863938  0.706858  0.0785398  -0.000926682
0.863938  0.706858  0.235619  -0.000926682
0.863938  0.706858  0.392699  0.000357839
0.863938  0.706858  0.549779  0.000357839
0.863938  0.706858  0.706858  0.0010001
0.863938  0.706858  0.863938  0.0010001
0.863938  0.706858  1.02102  -0.000284422
0.863938  0.706858  1.1781  0.000357839
0.863938  0.706858  1.33518  -0.000284422
0.863938  0.706858  1.49226  0.0010001
0.863938  0.863938  0.0785398  0.0010001
0.863938  0.863938  0.235619  0.000357839
0.863938  0.863938  0.392699  0.000357839
0.863938  0.863938  0.549779  -0.000284422
0.863938  0.863938  0.706858  -0.0022112
0.863938  0.863938  0.863938  0.0010001
0.863938  0.863938  1.02102  0.000357839
0.863938  0.863938  1.1781  -0.000926682
0.863938  0.863938  1.33518  0.000357839
0.863938  0.863938  1.49226  0.0010001
0.863938  1.02102  0.0785398  -0.000926682
0.863938  1.02102  0.235619  0.000357839
0.863938  1.02102  0.392699  -0.000284422
0.863938  1.02102  0.549779  -0.000926682
0.863938  1.02102  0.706858  -0.000284422
0.863938  1.02102  0.863938  0.0010001
0.863938  1.02102  1.02102  0.000357839
0.863938  1.02102  1.1781  -0.000284422
0.863938  1.02102  1.33518  0.0010001
0.863938  1.02102  1.49226  0.0010001
0.863938  1.1781  0.0785398  0.000357839
0.863938  1.1781  0.235619  -0.00156894
0.863938  1.1781  0.392699  0.000357839
0.863938  1.1781  0.549779  0.000357839
0.863938  1.1781  0.706858  0.000357839
0.863938  1.1781  0.863938  0.0010001
0.863938  1.1781  1.02102  0.000357839
0.863938  1.1781  1.1781  0.0010001
0.863938  1.1781  1.33518  0.0010001
0.863938  1.1781  1.49226  0.0010001
0.863938  1.33518  0.0785398  -0.000284422
0.863938  1.33518  0.235619  0.000357839
0.863938  1.33518  0.392699  -0.000284422
0.863938  1.33518  0.549779  0.000357839
0.863938  1.33518  0.706858  0.0010001
0.863938  1.33518  0.863938  0.0010001
0.863938  1.33518  1.02102  0.0010001
0.863938  1.33518  1.1781  0.000357839
0.863938  1.33518  1.33518  0.000357839
0.863938  1.33518  1.49226  0.0010001
0.863938  1.49226  0.0785398  -0.000926682
0.863938  1.49226  0.235619  0.0010001
0.863938  1.49226  0.392699  0.0010001
0.863938  1.49226  0.549779  0.0010001
0.863938  1.49226  0.706858  0.0010001
0.863938  1.49226  0.863938  0.0010001
0.863938  1.49226  1.02102  0.0010001
0.863938  1.49226  1.1781  0.0010001
0.863938  1.49226  1.33518  0.0010001
0.863938  1.49226  1.49226  0.0010001
1.02102  0.0785398  0.0785398  -0.000284422
1.02102  0.0785398  0.235619  -0.00156894
1.02102  0.0785398  0.392699  0.000357839
1.02102  0.0785398  0.549779  -0.0022112
1.02102  0.0785398  0.706858  -0.000926682
1.02102  0.0785398  0.863938  -0.000284422
1.02102  0.0785398  1.02102  0.000357839
1.02102  0.0785398  1.1781  0.0010001
1.02102  0.0785398  1.33518  0.000357839
1.02102  0.0785398  1.49226  -0.000284422
1.02102  0.235619  0.0785398  -0.000926682
1.02102  0.235619  0.235619  -0.000926682
1.02102  0.235619  0.392699  -0.000284422
1.02102  0.235619  0.549779  -0.0022112
1.02102  0.235619  0.706858  -0.000284422
1.02102  0.235619  0.863938  0.000357839
1.02102  0.235619  1.02102  0.0010001
1.02102  0.235619  1.1781  0.0010001
1.02102  0.235619  1.33518  0.000357839
1.02102  0.235619  1.49226  0.0010001
1.02102  0.392699  0.0785398  -0.000926682
1.02102  0.392699  0.235619  0.0010001
1.02102  0.392699  0.392699  -0.000284422
1.02102  0.392699  0.549779  0.000357839
1.02102  0.392699  0.706858  -0.00285346
1.02102  0.392699  0.863938  0.000357839
1.02102  0.392699  1.02102  0.000357839
1.02102  0.392699  1.1781  0.0010001
1.02102  0.392699  1.33518  0.0010001
1.02102  0.392699  1.49226  0.0010001
1.02102  0.549779  0.0785398  -0.000926682
1.02102  0.549779  0.235619  -0.000926682
1.02102  0.549779  0.392699  -0.000284422
1.02102  0.549779  0.549779  -0.000284422
1.02102  0.549779  0.706858  -0.000926682
1.02102  0.549779  0.863938  -0.000284422
1.02102  0.549779  1.02102  0.0010001
1.02102  0.549779  1.1781  0.0010001
